step,tag,value
49,train_loss,1.903709053993225
99,train_loss,1.857292652130127
149,train_loss,1.7456541061401367
199,train_loss,0.7216737866401672
249,train_loss,-0.17358621954917908
299,train_loss,-0.18358370661735535
349,train_loss,-0.3382990062236786
399,train_loss,-0.5529229640960693
449,train_loss,-0.9877991676330566
499,train_loss,-1.3003802299499512
549,train_loss,-1.6849678754806519
599,train_loss,-1.71453058719635
649,train_loss,-1.9975881576538086
699,train_loss,-1.822702407836914
749,train_loss,-1.9783378839492798
799,train_loss,-1.9601097106933594
849,train_loss,-2.0297582149505615
899,train_loss,-1.913758397102356
949,train_loss,-2.02018141746521
999,train_loss,-2.00205397605896
1049,train_loss,-2.1442556381225586
1099,train_loss,-2.15926456451416
1149,train_loss,-2.122130870819092
1199,train_loss,-2.076864242553711
1249,train_loss,-2.3429274559020996
1299,train_loss,-2.2153265476226807
1349,train_loss,-2.2974612712860107
1399,train_loss,-2.4139270782470703
1449,train_loss,-2.390915870666504
1499,train_loss,-2.424041509628296
1549,train_loss,-2.383504629135132
1599,train_loss,-2.038893222808838
1649,train_loss,-2.490776538848877
1699,train_loss,-2.623176097869873
1749,train_loss,-2.5486440658569336
1799,train_loss,-2.431087017059326
1849,train_loss,-2.5192713737487793
1899,train_loss,-2.5248405933380127
1949,train_loss,-2.502363443374634
1999,train_loss,-2.668766736984253
2049,train_loss,-2.470796585083008
2099,train_loss,-2.585557460784912
2149,train_loss,-2.7083449363708496
2199,train_loss,-2.608363151550293
2249,train_loss,-2.6934661865234375
2299,train_loss,-2.673369884490967
2349,train_loss,-2.6403021812438965
2399,train_loss,-2.7295055389404297
2449,train_loss,-2.6434645652770996
2499,train_loss,-2.5713841915130615
2549,train_loss,-2.1702024936676025
2599,train_loss,-2.64593243598938
2649,train_loss,-2.7562508583068848
2699,train_loss,-2.7834572792053223
2749,train_loss,-2.744476318359375
2799,train_loss,-2.7983720302581787
2849,train_loss,-2.6909756660461426
2899,train_loss,-2.40548038482666
2949,train_loss,-2.7085154056549072
2999,train_loss,-2.794734477996826
3049,train_loss,-2.7810556888580322
3099,train_loss,-2.7999346256256104
3149,train_loss,-2.871001958847046
3199,train_loss,-2.761549949645996
3249,train_loss,-2.9063351154327393
3299,train_loss,-2.8336565494537354
3349,train_loss,-2.880199909210205
3399,train_loss,-2.70007061958313
3449,train_loss,-2.965723991394043
3499,train_loss,-2.7805442810058594
3549,train_loss,-2.891810655593872
3599,train_loss,-2.72053599357605
3649,train_loss,-2.683950424194336
3699,train_loss,-2.7867043018341064
3749,train_loss,-2.824627637863159
3799,train_loss,-2.8424229621887207
3849,train_loss,-2.8469200134277344
