step,tag,value
49,train_loss,1.9167464971542358
99,train_loss,1.8746576309204102
149,train_loss,1.7577027082443237
199,train_loss,0.5694996118545532
249,train_loss,-0.0982784628868103
299,train_loss,-0.19625282287597656
349,train_loss,-0.30136191844940186
399,train_loss,-0.41914311051368713
449,train_loss,-0.8588071465492249
499,train_loss,-1.371493935585022
549,train_loss,-1.5897908210754395
599,train_loss,-1.9440586566925049
649,train_loss,-1.8164371252059937
699,train_loss,-1.8353627920150757
749,train_loss,-1.9927843809127808
799,train_loss,-1.8823590278625488
849,train_loss,-2.1930267810821533
899,train_loss,-2.1194186210632324
949,train_loss,-1.8598929643630981
999,train_loss,-2.0749595165252686
1049,train_loss,-2.0949325561523438
1099,train_loss,-2.13777756690979
1149,train_loss,-2.1990859508514404
1199,train_loss,-2.237806797027588
1249,train_loss,-2.1846697330474854
1299,train_loss,-2.184138774871826
1349,train_loss,-2.2418365478515625
1399,train_loss,-2.270608901977539
1449,train_loss,-2.450305700302124
1499,train_loss,-2.3354525566101074
1549,train_loss,-2.461460590362549
1599,train_loss,-2.4793667793273926
1649,train_loss,-2.409173011779785
1699,train_loss,-2.4210798740386963
1749,train_loss,-2.417342185974121
1799,train_loss,-2.476562023162842
1849,train_loss,-2.6320807933807373
1899,train_loss,-2.561631441116333
1949,train_loss,-2.6542842388153076
1999,train_loss,-2.5364720821380615
2049,train_loss,-2.614978790283203
2099,train_loss,-2.6692028045654297
2149,train_loss,-2.4714362621307373
2199,train_loss,-2.407803535461426
2249,train_loss,-2.5988810062408447
2299,train_loss,-1.8523930311203003
2349,train_loss,-2.4750006198883057
2399,train_loss,-2.6759541034698486
2449,train_loss,-2.7361648082733154
2499,train_loss,-2.4374239444732666
2549,train_loss,-2.676361322402954
2599,train_loss,-2.704943895339966
2649,train_loss,-2.4591445922851562
2699,train_loss,-2.7427561283111572
2749,train_loss,-2.7627110481262207
2799,train_loss,-2.8801615238189697
2849,train_loss,-2.6824371814727783
2899,train_loss,-2.67292857170105
2949,train_loss,-2.724426507949829
2999,train_loss,-2.8049726486206055
3049,train_loss,-2.7537906169891357
3099,train_loss,-2.8032429218292236
3149,train_loss,-2.6013333797454834
3199,train_loss,-2.8628089427948
3249,train_loss,-2.837139129638672
3299,train_loss,-2.734914779663086
3349,train_loss,-2.787827491760254
3399,train_loss,-2.7947118282318115
3449,train_loss,-2.6645619869232178
3499,train_loss,-2.838179111480713
3549,train_loss,-2.7976317405700684
3599,train_loss,-2.8783504962921143
3649,train_loss,-2.856654405593872
