step,tag,value
49,train_loss,1.90322744846344
99,train_loss,1.8543792963027954
149,train_loss,1.7110035419464111
199,train_loss,0.3063296675682068
249,train_loss,-0.1933540552854538
299,train_loss,-0.3083994388580322
349,train_loss,-0.5982439517974854
399,train_loss,-1.1690222024917603
449,train_loss,-1.517467737197876
499,train_loss,-1.7192387580871582
549,train_loss,-1.8607189655303955
599,train_loss,-1.907632827758789
649,train_loss,-2.000563621520996
699,train_loss,-1.9224272966384888
749,train_loss,-2.0994153022766113
799,train_loss,-2.1178784370422363
849,train_loss,-2.1131374835968018
899,train_loss,-2.1260080337524414
949,train_loss,-2.1925134658813477
999,train_loss,-2.2977473735809326
1049,train_loss,-2.2421469688415527
1099,train_loss,-2.3612468242645264
1149,train_loss,-2.407604932785034
1199,train_loss,-2.4163413047790527
1249,train_loss,-2.025007724761963
1299,train_loss,-2.408451795578003
1349,train_loss,-2.50827956199646
1399,train_loss,-2.533505439758301
1449,train_loss,-2.5244555473327637
1499,train_loss,-2.579378843307495
1549,train_loss,-2.220431327819824
1599,train_loss,-2.50631046295166
1649,train_loss,-2.2633204460144043
1699,train_loss,-2.576805591583252
1749,train_loss,-2.5629966259002686
1799,train_loss,-2.6418328285217285
1849,train_loss,-2.6695444583892822
1899,train_loss,-2.433098554611206
1949,train_loss,-2.6317546367645264
1999,train_loss,-2.652461290359497
2049,train_loss,-2.685063123703003
2099,train_loss,-2.6852993965148926
2149,train_loss,-2.729557514190674
2199,train_loss,-2.7492191791534424
2249,train_loss,-2.705385208129883
2299,train_loss,-2.689812660217285
2349,train_loss,-2.3407161235809326
2399,train_loss,-2.599862813949585
2449,train_loss,-2.7600018978118896
2499,train_loss,-2.6225740909576416
2549,train_loss,-2.758833408355713
2599,train_loss,-2.557591199874878
2649,train_loss,-2.8319358825683594
2699,train_loss,-2.7030913829803467
2749,train_loss,-2.8139231204986572
2799,train_loss,-2.345924139022827
2849,train_loss,-2.387542486190796
2899,train_loss,-2.747678756713867
2949,train_loss,-2.8076980113983154
2999,train_loss,-2.810973644256592
3049,train_loss,-2.796329975128174
3099,train_loss,-2.829456090927124
3149,train_loss,-2.81941294670105
3199,train_loss,-2.8207414150238037
3249,train_loss,-2.806148052215576
3299,train_loss,-2.6795473098754883
3349,train_loss,-2.8295395374298096
3399,train_loss,-2.791506052017212
3449,train_loss,-2.632298231124878
3499,train_loss,-2.746699333190918
3549,train_loss,-2.823897123336792
3599,train_loss,-2.6989898681640625
3649,train_loss,-2.809363603591919
3699,train_loss,-2.806260347366333
3749,train_loss,-3.000544548034668
3799,train_loss,-2.91386079788208
3849,train_loss,-2.722447156906128
3899,train_loss,-2.884136438369751
3949,train_loss,-2.8851523399353027
3999,train_loss,-2.9566450119018555
4049,train_loss,-2.7985122203826904
4099,train_loss,-2.6309049129486084
4149,train_loss,-2.816187620162964
4199,train_loss,-2.728020668029785
4249,train_loss,-2.8418567180633545
4299,train_loss,-2.7981021404266357
4349,train_loss,-2.8415579795837402
4399,train_loss,-2.814819574356079
4449,train_loss,-2.983226776123047
4499,train_loss,-2.9974429607391357
4549,train_loss,-2.986475706100464
4599,train_loss,-2.854304552078247
4649,train_loss,-2.9356932640075684
4699,train_loss,-2.932053327560425
4749,train_loss,-2.9210803508758545
4799,train_loss,-2.826491355895996
4849,train_loss,-2.7390737533569336
4899,train_loss,-2.9075968265533447
4949,train_loss,-2.9060959815979004
4999,train_loss,-2.743225574493408
5049,train_loss,-2.995016098022461
5099,train_loss,-3.031322717666626
5149,train_loss,-2.9758682250976562
5199,train_loss,-2.9061546325683594
5249,train_loss,-2.8849313259124756
5299,train_loss,-2.772712230682373
5349,train_loss,-2.923875570297241
5399,train_loss,-2.9752962589263916
5449,train_loss,-3.0301077365875244
5499,train_loss,-2.964850664138794
5549,train_loss,-2.934481382369995
5599,train_loss,-3.0091516971588135
5649,train_loss,-3.0438709259033203
5699,train_loss,-2.84529185295105
5749,train_loss,-3.0579729080200195
5799,train_loss,-3.02890682220459
5849,train_loss,-2.926776885986328
5899,train_loss,-2.7836265563964844
5949,train_loss,-2.9516704082489014
5999,train_loss,-2.9625463485717773
6049,train_loss,-2.9691426753997803
6099,train_loss,-2.9750943183898926
6149,train_loss,-3.0406501293182373
6199,train_loss,-2.9893341064453125
6249,train_loss,-2.843095064163208
6299,train_loss,-2.9692225456237793
6349,train_loss,-3.1063241958618164
6399,train_loss,-2.9804563522338867
6449,train_loss,-3.099409818649292
6499,train_loss,-3.042802333831787
6549,train_loss,-3.0545334815979004
6599,train_loss,-2.972693681716919
6649,train_loss,-3.0078983306884766
6699,train_loss,-2.969006061553955
6749,train_loss,-2.8994650840759277
6799,train_loss,-3.0806617736816406
6849,train_loss,-3.084995746612549
6899,train_loss,-3.2224605083465576
6949,train_loss,-3.053290367126465
6999,train_loss,-3.0077781677246094
7049,train_loss,-3.098949432373047
7099,train_loss,-3.1299428939819336
7149,train_loss,-3.0228960514068604
7199,train_loss,-3.1250712871551514
7249,train_loss,-3.1219944953918457
7299,train_loss,-3.0188374519348145
7349,train_loss,-3.046536922454834
7399,train_loss,-3.1334927082061768
7449,train_loss,-3.0796525478363037
7499,train_loss,-3.160618305206299
7549,train_loss,-3.1582062244415283
7599,train_loss,-3.1488759517669678
7649,train_loss,-3.0905025005340576
7699,train_loss,-3.007628917694092
7749,train_loss,-3.0909931659698486
7799,train_loss,-3.135207414627075
7849,train_loss,-3.1328980922698975
7899,train_loss,-3.0611021518707275
7949,train_loss,-3.0888848304748535
7999,train_loss,-3.0432968139648438
8049,train_loss,-3.164334774017334
8099,train_loss,-3.1585381031036377
8149,train_loss,-2.9955928325653076
8199,train_loss,-2.934180974960327
8249,train_loss,-3.1764345169067383
8299,train_loss,-2.8300607204437256
8349,train_loss,-3.176464557647705
8399,train_loss,-3.1832659244537354
8449,train_loss,-3.0663115978240967
8499,train_loss,-3.01375150680542
8549,train_loss,-3.1771278381347656
8599,train_loss,-3.178462028503418
8649,train_loss,-3.1185531616210938
8699,train_loss,-3.1986935138702393
8749,train_loss,-3.058756113052368
8799,train_loss,-3.1728644371032715
8849,train_loss,-2.9685988426208496
8899,train_loss,-3.0997679233551025
8949,train_loss,-3.118032217025757
8999,train_loss,-3.193092107772827
9049,train_loss,-3.1838738918304443
9099,train_loss,-3.162544012069702
9149,train_loss,-3.1104893684387207
9199,train_loss,-3.176774024963379
9249,train_loss,-3.234182834625244
9299,train_loss,-3.2010443210601807
9349,train_loss,-3.2385387420654297
9399,train_loss,-2.9651336669921875
9449,train_loss,-3.2496249675750732
9499,train_loss,-3.164572238922119
9549,train_loss,-3.166588068008423
9599,train_loss,-3.23776912689209
9649,train_loss,-3.279484748840332
9699,train_loss,-3.283418893814087
9749,train_loss,-3.262073278427124
9799,train_loss,-3.1749250888824463
9849,train_loss,-3.0741496086120605
9899,train_loss,-3.2165353298187256
9949,train_loss,-3.0439343452453613
9999,train_loss,-3.2232043743133545
10049,train_loss,-3.2462615966796875
10099,train_loss,-3.2136900424957275
10149,train_loss,-3.1193184852600098
10199,train_loss,-3.1974129676818848
10249,train_loss,-3.123246669769287
10299,train_loss,-3.285726308822632
10349,train_loss,-3.170118570327759
10399,train_loss,-3.235595464706421
10449,train_loss,-3.072636604309082
10499,train_loss,-3.0705902576446533
10549,train_loss,-3.2280447483062744
10599,train_loss,-3.308504581451416
10649,train_loss,-3.2343647480010986
10699,train_loss,-3.129976749420166
10749,train_loss,-3.248157262802124
10799,train_loss,-3.153022050857544
10849,train_loss,-3.2818055152893066
10899,train_loss,-3.053539514541626
10949,train_loss,-3.246399164199829
10999,train_loss,-3.2326087951660156
11049,train_loss,-3.2236952781677246
11099,train_loss,-3.148042917251587
11149,train_loss,-3.152836561203003
11199,train_loss,-3.252405881881714
11249,train_loss,-3.1884818077087402
11299,train_loss,-3.2201716899871826
11349,train_loss,-3.200806140899658
11399,train_loss,-3.290341854095459
11449,train_loss,-3.31660795211792
11499,train_loss,-3.2566659450531006
11549,train_loss,-3.220615863800049
11599,train_loss,-3.2217369079589844
11649,train_loss,-3.2264716625213623
11699,train_loss,-3.2016422748565674
11749,train_loss,-3.2437446117401123
11799,train_loss,-3.2984838485717773
