step,tag,value
49,train_loss,1.8341965675354004
99,train_loss,1.7848539352416992
149,train_loss,1.679128885269165
199,train_loss,0.27911612391471863
249,train_loss,-0.13812445104122162
299,train_loss,-0.23805837333202362
349,train_loss,-0.32929718494415283
399,train_loss,-0.7743768095970154
449,train_loss,-1.4728238582611084
499,train_loss,-1.618095874786377
549,train_loss,-1.8419408798217773
599,train_loss,-1.9259916543960571
649,train_loss,-1.9627952575683594
699,train_loss,-2.039118766784668
749,train_loss,-2.0211849212646484
799,train_loss,-1.9206914901733398
849,train_loss,-2.1678478717803955
899,train_loss,-2.151043176651001
949,train_loss,-2.2690234184265137
999,train_loss,-2.185648202896118
1049,train_loss,-2.248755693435669
1099,train_loss,-2.2617292404174805
1149,train_loss,-2.416782855987549
1199,train_loss,-2.1693286895751953
1249,train_loss,-2.385589599609375
1299,train_loss,-2.2796406745910645
1349,train_loss,-2.187573194503784
1399,train_loss,-2.3043134212493896
1449,train_loss,-2.457402229309082
1499,train_loss,-2.512765645980835
1549,train_loss,-2.466679573059082
1599,train_loss,-2.3940536975860596
1649,train_loss,-2.249218463897705
1699,train_loss,-2.3694496154785156
1749,train_loss,-2.4394783973693848
1799,train_loss,-2.4245874881744385
1849,train_loss,-2.5759918689727783
1899,train_loss,-2.5792157649993896
1949,train_loss,-2.328068256378174
1999,train_loss,-2.4663496017456055
2049,train_loss,-2.685303211212158
2099,train_loss,-2.659998893737793
2149,train_loss,-2.559516191482544
2199,train_loss,-2.1910645961761475
2249,train_loss,-2.6098365783691406
2299,train_loss,-2.7015392780303955
2349,train_loss,-2.5771007537841797
2399,train_loss,-2.764239549636841
2449,train_loss,-2.424121379852295
2499,train_loss,-2.583533763885498
2549,train_loss,-2.717287540435791
2599,train_loss,-2.6988167762756348
2649,train_loss,-2.6919145584106445
2699,train_loss,-2.6059131622314453
2749,train_loss,-2.796596050262451
2799,train_loss,-2.483945369720459
2849,train_loss,-2.4685580730438232
2899,train_loss,-2.562282085418701
2949,train_loss,-2.7287254333496094
2999,train_loss,-2.4807045459747314
3049,train_loss,-2.7252156734466553
3099,train_loss,-2.737555980682373
3149,train_loss,-2.9094955921173096
3199,train_loss,-2.777128219604492
3249,train_loss,-2.60986590385437
3299,train_loss,-2.809922695159912
3349,train_loss,-2.761559247970581
3399,train_loss,-2.625117301940918
3449,train_loss,-2.9503707885742188
3499,train_loss,-2.9412384033203125
3549,train_loss,-2.8469371795654297
3599,train_loss,-2.8567142486572266
3649,train_loss,-2.832162380218506
3699,train_loss,-2.834604501724243
3749,train_loss,-2.810311794281006
3799,train_loss,-2.970827341079712
3849,train_loss,-2.884160280227661
3899,train_loss,-2.6719353199005127
3949,train_loss,-2.7293176651000977
3999,train_loss,-2.8751704692840576
4049,train_loss,-2.710814952850342
4099,train_loss,-2.882176637649536
4149,train_loss,-2.4335179328918457
4199,train_loss,-2.8586885929107666
4249,train_loss,-2.9637749195098877
4299,train_loss,-2.7995615005493164
4349,train_loss,-2.626420021057129
4399,train_loss,-2.8901641368865967
4449,train_loss,-2.713136911392212
4499,train_loss,-2.9024858474731445
4549,train_loss,-2.892263650894165
4599,train_loss,-2.9360785484313965
4649,train_loss,-2.9460818767547607
4699,train_loss,-2.8940517902374268
4749,train_loss,-2.925955057144165
4799,train_loss,-3.0744950771331787
4849,train_loss,-2.991481304168701
4899,train_loss,-2.8539280891418457
4949,train_loss,-3.0373470783233643
4999,train_loss,-2.9500608444213867
5049,train_loss,-2.8723104000091553
5099,train_loss,-2.9877259731292725
5149,train_loss,-2.963564872741699
5199,train_loss,-2.8641140460968018
5249,train_loss,-2.9728598594665527
5299,train_loss,-2.9139041900634766
5349,train_loss,-2.9072353839874268
5399,train_loss,-2.955601692199707
5449,train_loss,-2.8908019065856934
5499,train_loss,-3.006199598312378
5549,train_loss,-2.951345205307007
5599,train_loss,-2.883765935897827
5649,train_loss,-3.034090280532837
5699,train_loss,-2.9154772758483887
5749,train_loss,-2.89353609085083
5799,train_loss,-3.100112199783325
5849,train_loss,-3.0180675983428955
5899,train_loss,-3.0624420642852783
5949,train_loss,-3.1493048667907715
5999,train_loss,-3.1292741298675537
6049,train_loss,-3.106565237045288
6099,train_loss,-2.9636342525482178
6149,train_loss,-2.989152431488037
6199,train_loss,-2.8757894039154053
