1,908,6.217600000002221,296.79037037037006
2,615,159.14048000000318,446.4962962962964
2,908,25.89600000000587,298.2874074074091
3,615,159.5432914546484,446.2418608980041
3,908,43.22100000682099,282.8077778831619
4,15,6.464669091608355,289.0918114338739
4,615,158.9657142938734,446.3344143411221
4,738,487.1383999999978,145.4022222222182
4,908,62.50123636579588,279.9915825355681
5,15,22.21205819014358,289.48065996658244
5,615,159.474822857552,446.1776076495254
5,738,469.8600002168405,181.51992644639137
5,908,80.52904477285097,277.5565188354896
6,15,37.58897455673605,285.6370371259023
6,615,159.06836129110616,446.4389151653587
6,738,450.05552009197345,221.54518547120227
6,908,98.53439999999978,275.14444444444484
7,15,52.8177890914651,281.27232324225713
7,615,159.48475827661923,446.22917948791365
7,738,423.80720003483816,243.15407452068638
7,908,116.05893333575068,275.67345683919854
8,15,67.2327646831809,279.6922461964206
8,615,159.20626698846263,446.5381311926624
8,738,395.5755555936946,255.6055148362697
8,908,134.1639999999984,270.05185185185155
9,15,81.00455408843686,277.94389834403523
9,615,159.50058620677623,446.3171822602132
9,738,369.0584001179161,272.00592672303304
9,908,153.73250909228204,268.272053869701
10,15,94.47356514130206,276.42319593808406
10,615,159.53752606388775,446.463636125122
10,738,345.42384010301816,290.89777842781814
10,908,174.309599999998,268.6948148148145
11,15,107.57650909187191,275.709360288918
11,615,159.6259648780483,446.34222402890634
11,738,320.54880000333696,302.7820741295022
11,908,195.39040000000796,273.45037037037014
12,15,120.99465891153271,274.13508421281296
12,615,159.59052363646492,446.43039393965546
12,738,294.61617779938933,306.46987678425216
12,908,216.85616001411745,279.60444428245324
13,15,135.56891200266932,270.37844448091516
13,615,159.56728708406786,446.44081402873815
13,738,269.4489778777438,320.0739101904127
13,908,238.25439999999958,288.4985185185185
14,15,151.0393599999975,268.2968888888888
14,615,159.5866640437407,446.3702853674378
14,738,244.3310223050105,339.5081487274525
14,908,259.7495999999978,295.44666666666797
15,15,167.1220800000026,268.6074074074076
15,615,159.48265956284675,446.5044214320322
15,738,221.64727297472382,362.52242542237644
15,908,280.87294545994723,301.2063972196792
16,15,184.02281600081096,270.9423703543254
16,615,159.5243220337136,446.45540694645547
16,738,199.12640017722083,385.5311118847442
16,908,301.6254400061939,307.61355546029677
17,15,201.27318400121,274.27414812408
17,615,159.532634285755,446.4511957674817
17,738,176.88512019937548,410.19570469288766
17,908,321.79048000852504,313.86377765806526
18,15,218.34784000439413,279.73075551021265
18,615,159.55131377829957,446.4584197532902
18,738,157.33104043674757,440.6940746388155
18,908,341.3540000265698,306.3261730661031
19,15,235.33176000659185,287.1865036356895
19,615,159.54010844457684,446.422493827211
19,738,152.84097486260748,459.26632994276684
19,908,360.6016000000011,295.2577777777783
