step,tag,value
49,train_loss,1.8800954818725586
99,train_loss,1.8397619724273682
149,train_loss,1.7188053131103516
199,train_loss,0.1994330734014511
249,train_loss,-0.11727872490882874
299,train_loss,-0.22963997721672058
349,train_loss,-0.32246923446655273
399,train_loss,-0.5456042289733887
449,train_loss,-0.9118842482566833
499,train_loss,-1.2721364498138428
549,train_loss,-1.66560697555542
599,train_loss,-1.7510974407196045
649,train_loss,-1.8057360649108887
699,train_loss,-1.8421266078948975
749,train_loss,-1.8370167016983032
799,train_loss,-1.9823111295700073
849,train_loss,-1.9491322040557861
899,train_loss,-2.0863537788391113
949,train_loss,-2.1815097332000732
999,train_loss,-2.2202236652374268
1049,train_loss,-2.1993324756622314
1099,train_loss,-2.2221779823303223
1149,train_loss,-2.1898586750030518
1199,train_loss,-2.1561224460601807
1249,train_loss,-2.355510950088501
1299,train_loss,-2.343893527984619
1349,train_loss,-2.3437798023223877
1399,train_loss,-2.3360681533813477
1449,train_loss,-2.344980001449585
1499,train_loss,-2.4154038429260254
1549,train_loss,-2.459242343902588
1599,train_loss,-2.0527281761169434
1649,train_loss,-2.098088502883911
1699,train_loss,-2.1900501251220703
1749,train_loss,-2.2575602531433105
1799,train_loss,-2.332526206970215
1849,train_loss,-2.186366081237793
1899,train_loss,-2.6680309772491455
1949,train_loss,-2.6264190673828125
1999,train_loss,-2.079763174057007
2049,train_loss,-2.4329631328582764
2099,train_loss,-2.6013691425323486
2149,train_loss,-2.3085339069366455
2199,train_loss,-2.5397207736968994
2249,train_loss,-2.683643341064453
2299,train_loss,-2.6833994388580322
2349,train_loss,-2.5655837059020996
2399,train_loss,-2.2497329711914062
2449,train_loss,-2.6286444664001465
2499,train_loss,-2.6716930866241455
2549,train_loss,-2.8118209838867188
2599,train_loss,-2.372889518737793
2649,train_loss,-2.6870903968811035
2699,train_loss,-2.5401358604431152
2749,train_loss,-2.53505277633667
2799,train_loss,-2.6963963508605957
2849,train_loss,-2.605649471282959
2899,train_loss,-2.4221653938293457
2949,train_loss,-2.735210418701172
2999,train_loss,-2.740774631500244
3049,train_loss,-2.746833324432373
3099,train_loss,-2.81933856010437
3149,train_loss,-2.822796583175659
3199,train_loss,-2.749626398086548
3249,train_loss,-2.7864603996276855
3299,train_loss,-2.795559883117676
3349,train_loss,-2.6774587631225586
3399,train_loss,-2.4961156845092773
3449,train_loss,-2.7456541061401367
3499,train_loss,-2.8762047290802
3549,train_loss,-2.72223162651062
3599,train_loss,-2.9049906730651855
3649,train_loss,-2.7730767726898193
3699,train_loss,-2.8123302459716797
3749,train_loss,-2.7476320266723633
3799,train_loss,-2.7302494049072266
3849,train_loss,-2.910910129547119
3899,train_loss,-2.822394371032715
3949,train_loss,-2.621182441711426
3999,train_loss,-2.8964145183563232
4049,train_loss,-2.7978298664093018
4099,train_loss,-2.9472880363464355
4149,train_loss,-2.7754251956939697
4199,train_loss,-2.940945863723755
4249,train_loss,-2.856468439102173
4299,train_loss,-2.8514645099639893
4349,train_loss,-2.903524875640869
4399,train_loss,-2.652359962463379
4449,train_loss,-2.87066650390625
4499,train_loss,-2.941033124923706
4549,train_loss,-2.8649215698242188
4599,train_loss,-2.8933680057525635
4649,train_loss,-2.8847784996032715
4699,train_loss,-2.723644733428955
4749,train_loss,-2.8717164993286133
4799,train_loss,-2.8014824390411377
4849,train_loss,-2.893056631088257
4899,train_loss,-2.927438497543335
4949,train_loss,-2.9619557857513428
4999,train_loss,-2.8144750595092773
5049,train_loss,-3.008894205093384
5099,train_loss,-2.823763132095337
5149,train_loss,-2.946711540222168
5199,train_loss,-2.833406448364258
5249,train_loss,-2.986994743347168
5299,train_loss,-2.793471574783325
5349,train_loss,-3.0732593536376953
5399,train_loss,-2.9933199882507324
5449,train_loss,-2.929574728012085
5499,train_loss,-2.9839560985565186
5549,train_loss,-3.0359110832214355
5599,train_loss,-2.908308982849121
5649,train_loss,-2.991224765777588
5699,train_loss,-2.9079954624176025
5749,train_loss,-3.01053524017334
