step,tag,value
49,train_loss,1.8993111848831177
99,train_loss,1.8481099605560303
149,train_loss,1.7240201234817505
199,train_loss,0.3064793050289154
249,train_loss,-0.24907349050045013
299,train_loss,-0.26402831077575684
349,train_loss,-1.0606800317764282
399,train_loss,-1.459659457206726
449,train_loss,-1.7026050090789795
499,train_loss,-1.8769662380218506
549,train_loss,-1.921895980834961
599,train_loss,-1.9537444114685059
649,train_loss,-2.0380806922912598
699,train_loss,-2.066755771636963
749,train_loss,-2.0954318046569824
799,train_loss,-2.13704514503479
849,train_loss,-2.0505149364471436
899,train_loss,-2.1958677768707275
949,train_loss,-2.129032611846924
999,train_loss,-2.0782406330108643
1049,train_loss,-2.2174932956695557
1099,train_loss,-2.2914652824401855
1149,train_loss,-2.293475866317749
1199,train_loss,-2.45157790184021
1249,train_loss,-2.4611458778381348
1299,train_loss,-2.274468421936035
1349,train_loss,-2.5053329467773438
1399,train_loss,-2.4611942768096924
1449,train_loss,-2.3992159366607666
1499,train_loss,-2.5580568313598633
1549,train_loss,-2.5314226150512695
1599,train_loss,-2.46734356880188
1649,train_loss,-2.6788148880004883
1699,train_loss,-2.608881950378418
1749,train_loss,-2.6867213249206543
1799,train_loss,-2.596731185913086
1849,train_loss,-2.6509604454040527
1899,train_loss,-2.432889938354492
1949,train_loss,-2.6501083374023438
1999,train_loss,-2.6173267364501953
2049,train_loss,-2.4882562160491943
2099,train_loss,-2.6811225414276123
2149,train_loss,-2.7000770568847656
2199,train_loss,-2.7124199867248535
2249,train_loss,-2.7550013065338135
2299,train_loss,-2.535980463027954
2349,train_loss,-2.7351486682891846
2399,train_loss,-2.3462982177734375
2449,train_loss,-2.76802921295166
2499,train_loss,-2.6887457370758057
2549,train_loss,-2.313462495803833
2599,train_loss,-2.7572526931762695
2649,train_loss,-2.755251169204712
2699,train_loss,-2.7416207790374756
2749,train_loss,-2.752711057662964
2799,train_loss,-2.795012950897217
2849,train_loss,-2.78462290763855
2899,train_loss,-2.77716326713562
2949,train_loss,-2.4906907081604004
2999,train_loss,-2.910473585128784
3049,train_loss,-2.7056033611297607
3099,train_loss,-2.6670684814453125
3149,train_loss,-2.698741912841797
3199,train_loss,-2.6667184829711914
3249,train_loss,-2.8309226036071777
3299,train_loss,-2.7255935668945312
3349,train_loss,-2.803035259246826
3399,train_loss,-2.9084396362304688
3449,train_loss,-2.811861515045166
3499,train_loss,-2.7108922004699707
3549,train_loss,-2.8824563026428223
3599,train_loss,-2.8649508953094482
3649,train_loss,-2.9010961055755615
3699,train_loss,-2.8413944244384766
3749,train_loss,-2.466099977493286
3799,train_loss,-2.7699756622314453
3849,train_loss,-2.796675682067871
3899,train_loss,-2.985553741455078
3949,train_loss,-2.8432788848876953
3999,train_loss,-2.8916244506835938
4049,train_loss,-2.8296937942504883
4099,train_loss,-2.9108171463012695
4149,train_loss,-2.782057762145996
4199,train_loss,-2.8284683227539062
4249,train_loss,-2.8749783039093018
4299,train_loss,-2.974090099334717
4349,train_loss,-2.686471700668335
4399,train_loss,-2.878349781036377
4449,train_loss,-2.7980315685272217
4499,train_loss,-2.9872002601623535
4549,train_loss,-2.863719940185547
4599,train_loss,-2.7256860733032227
4649,train_loss,-3.013018846511841
4699,train_loss,-2.927011013031006
4749,train_loss,-2.874253034591675
4799,train_loss,-3.0937843322753906
4849,train_loss,-2.8858160972595215
4899,train_loss,-3.078768730163574
4949,train_loss,-3.0174612998962402
4999,train_loss,-2.8523755073547363
5049,train_loss,-2.927497625350952
5099,train_loss,-3.021984577178955
5149,train_loss,-3.0165839195251465
5199,train_loss,-2.9376354217529297
5249,train_loss,-2.7229628562927246
5299,train_loss,-2.8903543949127197
5349,train_loss,-3.0407400131225586
5399,train_loss,-2.9931066036224365
5449,train_loss,-3.0228934288024902
5499,train_loss,-3.0588347911834717
5549,train_loss,-3.062413454055786
5599,train_loss,-2.9189021587371826
5649,train_loss,-2.9826927185058594
5699,train_loss,-2.648548126220703
5749,train_loss,-3.0521299839019775
5799,train_loss,-3.0044233798980713
5849,train_loss,-2.9293923377990723
5899,train_loss,-3.1409528255462646
5949,train_loss,-3.05328369140625
5999,train_loss,-2.991584062576294
6049,train_loss,-2.953472137451172
6099,train_loss,-3.1154236793518066
6149,train_loss,-2.8433611392974854
6199,train_loss,-2.989623546600342
6249,train_loss,-2.957592725753784
6299,train_loss,-2.8762729167938232
6349,train_loss,-3.067025661468506
6399,train_loss,-2.974114418029785
6449,train_loss,-3.091425657272339
6499,train_loss,-3.0490200519561768
6549,train_loss,-3.056875467300415
6599,train_loss,-3.0658926963806152
6649,train_loss,-3.0511856079101562
6699,train_loss,-3.0333354473114014
6749,train_loss,-3.040844202041626
6799,train_loss,-3.092412233352661
6849,train_loss,-3.0112671852111816
6899,train_loss,-3.0190343856811523
6949,train_loss,-2.797896146774292
6999,train_loss,-3.079711437225342
7049,train_loss,-2.8782002925872803
7099,train_loss,-3.126943826675415
7149,train_loss,-2.9457881450653076
7199,train_loss,-3.0080652236938477
7249,train_loss,-2.800239086151123
7299,train_loss,-3.1384663581848145
7349,train_loss,-2.984118938446045
7399,train_loss,-3.0358660221099854
7449,train_loss,-3.1980903148651123
7499,train_loss,-3.156545639038086
7549,train_loss,-3.0700714588165283
7599,train_loss,-3.0674755573272705
7649,train_loss,-3.1203222274780273
7699,train_loss,-3.2839176654815674
7749,train_loss,-3.188791513442993
7799,train_loss,-3.133810520172119
7849,train_loss,-3.177462577819824
7899,train_loss,-3.1909756660461426
7949,train_loss,-3.242427349090576
7999,train_loss,-3.045757532119751
8049,train_loss,-3.0494887828826904
8099,train_loss,-3.167276382446289
8149,train_loss,-3.099996328353882
8199,train_loss,-3.1244921684265137
8249,train_loss,-3.100999116897583
8299,train_loss,-3.1028919219970703
8349,train_loss,-3.179525136947632
8399,train_loss,-3.230525255203247
8449,train_loss,-3.3200290203094482
8499,train_loss,-3.0786807537078857
8549,train_loss,-3.17793869972229
8599,train_loss,-3.20503830909729
8649,train_loss,-3.2720656394958496
8699,train_loss,-3.193357467651367
8749,train_loss,-3.0748467445373535
8799,train_loss,-3.197514295578003
8849,train_loss,-3.2562639713287354
8899,train_loss,-3.2625105381011963
8949,train_loss,-3.2329511642456055
8999,train_loss,-3.20713210105896
9049,train_loss,-3.2159783840179443
9099,train_loss,-3.1908953189849854
9149,train_loss,-3.1668758392333984
9199,train_loss,-3.1432743072509766
9249,train_loss,-3.2165753841400146
9299,train_loss,-3.179671049118042
9349,train_loss,-3.1988439559936523
9399,train_loss,-3.2506237030029297
9449,train_loss,-3.2040908336639404
9499,train_loss,-3.3321375846862793
9549,train_loss,-3.2862579822540283
9599,train_loss,-3.269869327545166
9649,train_loss,-3.1538193225860596
9699,train_loss,-3.2557103633880615
9749,train_loss,-3.187901258468628
9799,train_loss,-3.29250168800354
9849,train_loss,-3.221400022506714
9899,train_loss,-3.2814152240753174
9949,train_loss,-3.2393603324890137
9999,train_loss,-3.3555190563201904
10049,train_loss,-3.2393581867218018
10099,train_loss,-3.3164007663726807
10149,train_loss,-3.2274975776672363
10199,train_loss,-3.2453761100769043
10249,train_loss,-3.2166788578033447
10299,train_loss,-3.267123222351074
10349,train_loss,-3.3256678581237793
10399,train_loss,-3.2005972862243652
10449,train_loss,-3.326629161834717
10499,train_loss,-3.168936014175415
10549,train_loss,-3.2985217571258545
10599,train_loss,-3.3616514205932617
10649,train_loss,-3.109050750732422
10699,train_loss,-3.3732993602752686
10749,train_loss,-3.3053579330444336
10799,train_loss,-3.203108310699463
10849,train_loss,-3.0513241291046143
10899,train_loss,-3.2993874549865723
10949,train_loss,-3.249769449234009
10999,train_loss,-3.17490816116333
11049,train_loss,-3.3071861267089844
11099,train_loss,-3.2095136642456055
11149,train_loss,-3.2008490562438965
11199,train_loss,-3.3238701820373535
11249,train_loss,-3.3585493564605713
11299,train_loss,-3.253061294555664
11349,train_loss,-3.3448822498321533
11399,train_loss,-3.223144769668579
11449,train_loss,-3.39225172996521
11499,train_loss,-3.378892660140991
11549,train_loss,-3.2969908714294434
11599,train_loss,-3.3971829414367676
11649,train_loss,-3.2317469120025635
11699,train_loss,-3.261193037033081
11749,train_loss,-3.341425895690918
11799,train_loss,-3.3636322021484375
11849,train_loss,-3.2647647857666016
11899,train_loss,-3.215970039367676
11949,train_loss,-3.4083540439605713
11999,train_loss,-3.4699692726135254
12049,train_loss,-3.3627560138702393
12099,train_loss,-3.111834764480591
12149,train_loss,-3.314481019973755
12199,train_loss,-3.3736190795898438
12249,train_loss,-3.2933530807495117
12299,train_loss,-3.264183521270752
12349,train_loss,-3.3826377391815186
12399,train_loss,-3.399749994277954
12449,train_loss,-3.284090995788574
12499,train_loss,-3.233586072921753
12549,train_loss,-3.2837603092193604
12599,train_loss,-3.4178731441497803
12649,train_loss,-3.3971166610717773
12699,train_loss,-3.3572137355804443
12749,train_loss,-3.380366325378418
12799,train_loss,-3.274240732192993
12849,train_loss,-3.322683811187744
12899,train_loss,-3.3094053268432617
12949,train_loss,-3.3768112659454346
12999,train_loss,-3.304964303970337
13049,train_loss,-3.2405736446380615
13099,train_loss,-3.3803653717041016
13149,train_loss,-3.287494659423828
13199,train_loss,-3.342196226119995
13249,train_loss,-3.344747543334961
13299,train_loss,-3.4402222633361816
13349,train_loss,-3.333622455596924
13399,train_loss,-3.437715768814087
13449,train_loss,-3.386059284210205
13499,train_loss,-3.3737168312072754
13549,train_loss,-3.368194341659546
13599,train_loss,-3.4520957469940186
13649,train_loss,-3.1587398052215576
13699,train_loss,-3.4401936531066895
13749,train_loss,-3.3774099349975586
13799,train_loss,-3.3410208225250244
13849,train_loss,-3.479860305786133
13899,train_loss,-3.412917375564575
13949,train_loss,-3.3240859508514404
13999,train_loss,-3.3817124366760254
14049,train_loss,-3.4295220375061035
14099,train_loss,-3.4551494121551514
14149,train_loss,-3.4631736278533936
14199,train_loss,-3.3596420288085938
14249,train_loss,-3.368168592453003
14299,train_loss,-3.356942892074585
14349,train_loss,-3.3110437393188477
14399,train_loss,-3.4137160778045654
14449,train_loss,-3.3985795974731445
14499,train_loss,-3.3427650928497314
14549,train_loss,-3.3721120357513428
14599,train_loss,-3.469878911972046
14649,train_loss,-3.401663303375244
14699,train_loss,-3.455131769180298
14749,train_loss,-3.4520182609558105
14799,train_loss,-3.412090301513672
14849,train_loss,-3.4684548377990723
14899,train_loss,-3.407111644744873
14949,train_loss,-3.410987615585327
14999,train_loss,-3.4360225200653076
15049,train_loss,-3.484236240386963
15099,train_loss,-3.398094892501831
15149,train_loss,-3.452132225036621
15199,train_loss,-3.473320722579956
15249,train_loss,-3.404151678085327
15299,train_loss,-3.4897899627685547
15349,train_loss,-3.4472854137420654
15399,train_loss,-3.423351526260376
15449,train_loss,-3.463747501373291
15499,train_loss,-3.4700334072113037
15549,train_loss,-3.5310699939727783
15599,train_loss,-3.3870651721954346
15649,train_loss,-3.4232289791107178
15699,train_loss,-3.5615062713623047
15749,train_loss,-3.380945920944214
15799,train_loss,-3.361686944961548
15849,train_loss,-3.5065197944641113
15899,train_loss,-3.492849826812744
15949,train_loss,-3.5170047283172607
15999,train_loss,-3.413877010345459
16049,train_loss,-3.4548614025115967
16099,train_loss,-3.4716832637786865
16149,train_loss,-3.424046516418457
16199,train_loss,-3.4910621643066406
16249,train_loss,-3.5216281414031982
16299,train_loss,-3.4525630474090576
16349,train_loss,-3.4287490844726562
16399,train_loss,-3.3398494720458984
16449,train_loss,-3.4599549770355225
16499,train_loss,-3.519589424133301
16549,train_loss,-3.4442272186279297
16599,train_loss,-3.287259340286255
16649,train_loss,-3.4342446327209473
16699,train_loss,-3.4777865409851074
16749,train_loss,-3.4448883533477783
16799,train_loss,-3.4668118953704834
16849,train_loss,-3.5199882984161377
16899,train_loss,-3.49135684967041
16949,train_loss,-3.572906494140625
16999,train_loss,-3.5340354442596436
17049,train_loss,-3.482797145843506
17099,train_loss,-3.5066192150115967
17149,train_loss,-3.4465086460113525
17199,train_loss,-3.4377806186676025
17249,train_loss,-3.3959107398986816
17299,train_loss,-3.517981767654419
17349,train_loss,-3.6143033504486084
17399,train_loss,-3.519169330596924
17449,train_loss,-3.553849697113037
17499,train_loss,-3.5146842002868652
17549,train_loss,-3.5089197158813477
17599,train_loss,-3.5665128231048584
17649,train_loss,-3.587881565093994
17699,train_loss,-3.4211277961730957
17749,train_loss,-3.6050639152526855
17799,train_loss,-3.467095375061035
17849,train_loss,-3.5219295024871826
17899,train_loss,-3.597311496734619
17949,train_loss,-3.511669635772705
17999,train_loss,-3.576734781265259
18049,train_loss,-3.4819769859313965
18099,train_loss,-3.603126287460327
18149,train_loss,-3.5940442085266113
18199,train_loss,-3.493891477584839
18249,train_loss,-3.5050318241119385
