step,tag,value
49,train_loss,1.9130375385284424
99,train_loss,1.8632574081420898
149,train_loss,1.7406494617462158
199,train_loss,0.5997893214225769
249,train_loss,-0.19934314489364624
299,train_loss,-0.2368352860212326
349,train_loss,-0.44791221618652344
399,train_loss,-0.98935467004776
449,train_loss,-1.4387658834457397
499,train_loss,-1.7015573978424072
549,train_loss,-1.7854300737380981
599,train_loss,-1.9546760320663452
649,train_loss,-2.011040687561035
699,train_loss,-2.0451433658599854
749,train_loss,-2.1316580772399902
799,train_loss,-2.097323179244995
849,train_loss,-2.262590169906616
899,train_loss,-2.250243663787842
949,train_loss,-2.109591245651245
999,train_loss,-2.3602182865142822
1049,train_loss,-2.377034902572632
1099,train_loss,-2.3741400241851807
1149,train_loss,-2.365476369857788
1199,train_loss,-2.3929190635681152
1249,train_loss,-2.3990981578826904
1299,train_loss,-2.599095582962036
1349,train_loss,-2.507767915725708
1399,train_loss,-2.2959158420562744
1449,train_loss,-1.888317346572876
1499,train_loss,-2.679837465286255
1549,train_loss,-2.5277507305145264
1599,train_loss,-2.665623426437378
1649,train_loss,-2.480013370513916
1699,train_loss,-2.5525758266448975
1749,train_loss,-2.54642915725708
1799,train_loss,-2.5039632320404053
1849,train_loss,-2.357069969177246
1899,train_loss,-2.628061056137085
1949,train_loss,-2.623946189880371
1999,train_loss,-2.653494119644165
2049,train_loss,-2.4575369358062744
2099,train_loss,-2.7754549980163574
2149,train_loss,-2.3945372104644775
2199,train_loss,-2.6529550552368164
2249,train_loss,-2.752286195755005
2299,train_loss,-2.25803279876709
2349,train_loss,-2.7600510120391846
2399,train_loss,-2.7460715770721436
2449,train_loss,-2.8193254470825195
2499,train_loss,-2.767566680908203
2549,train_loss,-2.705789804458618
2599,train_loss,-1.8656036853790283
2649,train_loss,-2.7624762058258057
2699,train_loss,-2.8270070552825928
2749,train_loss,-2.8892760276794434
2799,train_loss,-2.792330503463745
2849,train_loss,-2.6707730293273926
2899,train_loss,-2.8939921855926514
2949,train_loss,-2.868319511413574
2999,train_loss,-2.8889002799987793
3049,train_loss,-2.815497875213623
3099,train_loss,-2.783621311187744
3149,train_loss,-2.8556995391845703
3199,train_loss,-2.8270955085754395
3249,train_loss,-2.8134875297546387
3299,train_loss,-2.7165005207061768
3349,train_loss,-3.0079355239868164
3399,train_loss,-2.954838991165161
3449,train_loss,-2.844508171081543
3499,train_loss,-2.689730167388916
3549,train_loss,-2.619840621948242
3599,train_loss,-2.7734627723693848
3649,train_loss,-2.8695409297943115
3699,train_loss,-2.870964527130127
3749,train_loss,-2.785508871078491
3799,train_loss,-2.936927080154419
3849,train_loss,-2.9171671867370605
3899,train_loss,-2.676229238510132
3949,train_loss,-2.645684003829956
3999,train_loss,-3.022040843963623
4049,train_loss,-2.8240888118743896
4099,train_loss,-2.875070333480835
4149,train_loss,-2.8211045265197754
4199,train_loss,-2.930786371231079
4249,train_loss,-2.797715425491333
4299,train_loss,-2.912670612335205
4349,train_loss,-2.899487257003784
4399,train_loss,-2.9591407775878906
4449,train_loss,-2.8684659004211426
4499,train_loss,-2.87661075592041
4549,train_loss,-2.941218852996826
4599,train_loss,-3.0622575283050537
4649,train_loss,-3.047182321548462
4699,train_loss,-2.926243543624878
4749,train_loss,-2.8294713497161865
4799,train_loss,-2.918703317642212
4849,train_loss,-2.95686936378479
4899,train_loss,-2.8356235027313232
4949,train_loss,-2.9628419876098633
4999,train_loss,-2.866091251373291
5049,train_loss,-2.997293472290039
